,category,distance,precision,recall,f_measure,lang,data_count
0,000,0.311665699361578,64.57724573475352,79.52408589669182,71.27548897211818,eng,68862.0
1,001,0.268292682926829,87.35632183908046,86.90032314193388,87.12772585669782,eng,16151.0
2,010,0.6027690550956321,84.72804988039685,80.88081155948191,82.75974336876378,eng,168111.0
3,011,0.7467191601049861,88.82299270072993,80.28865979381443,84.3404808317089,eng,6083.0
4,100,0.34866788019195705,81.01423554733225,88.75972199238788,84.71029513374789,eng,96544.0
5,101,0.28571428571428503,91.87032418952619,86.39774859287054,89.05003625815809,eng,11375.0
6,110,0.596563821174777,88.84429471217226,82.08466410436854,85.33081976899595,eng,88819.0
7,111,1.052478134110787,88.33892617449665,74.31192660550458,80.72058259869682,eng,2739.0
8,all,0.48935873524951606,83.83610851262863,82.80434621923276,83.31703326329881,eng,458684.0
0,000,0.8995837669094691,54.284591194968556,71.8522372528616,61.84505150022391,ita,15373.0
1,001,2.851063829787234,29.87012987012987,24.46808510638298,26.90058479532164,ita,379.0
2,010,0.8474506578947361,83.40217482930119,82.83657066309443,83.11841055151847,ita,38911.0
3,011,2.571428571428571,65.625,48.83720930232558,56.0,ita,108.0
4,100,0.37185092650426804,88.90825620504259,92.32867632062003,90.58619007716648,ita,153694.0
5,101,1.7000000000000002,67.5,59.34065934065934,63.1578947368421,ita,239.0
6,110,0.356690439379582,96.47369796961686,94.3537733839008,95.40196043230046,ita,160409.0
7,111,3.363636363636363,67.74193548387096,44.680851063829785,53.84615384615384,ita,87.0
8,all,0.44213559836189903,91.80527154749062,92.13758221159284,91.97112670376644,ita,369200.0
0,000,0.6497797356828191,55.04794134235759,71.65932452276064,62.26475279106858,fra,10894.0
1,001,0.583333333333333,78.70370370370371,75.89285714285714,77.27272727272727,fra,1346.0
2,010,1.141659311562224,75.41975790706755,72.13818860877684,73.74248353536318,fra,54385.0
3,011,2.9215686274509802,60.150375939849624,46.78362573099415,52.63157894736843,fra,403.0
4,100,0.340621732103812,89.00548847420417,90.89726918075422,89.94143224775932,fra,84152.0
5,101,0.45833333333333304,92.51700680272108,89.47368421052632,90.96989966555184,fra,381.0
6,110,0.81513470681458,92.47621864064271,85.51342235996536,88.85863130475965,fra,100955.0
7,111,2.368421052631578,87.5,79.54545454545455,83.33333333333333,fra,147.0
8,all,0.7228114611366151,87.3435498176801,84.0499306518724,85.66509396917834,fra,252663.0
0,000,0.183306055646481,75.92592592592592,87.23404255319149,81.18811881188118,hun,4830.0
1,001,0.33903133903133903,80.99062918340027,86.18233618233619,83.50586611456177,hun,2775.0
2,010,0.386048355132778,90.12477175897747,88.9740123178609,89.54569506387482,hun,20153.0
3,011,0.721577726218097,83.69337979094077,83.40277777777777,83.54782608695653,hun,3463.0
4,100,0.018347653668208,99.38531613102937,99.25144907535191,99.31833749475219,hun,302583.0
5,101,0.033416708354177004,99.29825609173436,98.84370727067356,99.07046030090869,hun,79971.0
6,110,0.232719823706508,97.0269344898425,94.38769845675586,95.68912150374246,hun,257731.0
7,111,0.279493269992082,96.68464933791074,93.65543124539775,95.14593564111536,hun,70725.0
8,all,0.134844174317858,97.64725698596911,96.03643182782018,96.83514596546672,hun,742231.0
0,000,0.48986265533028106,66.2533692722372,80.3793328973185,72.63593380614657,spa,
1,001,2.206896551724138,19.23076923076923,17.24137931034483,18.181818181818183,spa,
2,010,1.01401050788091,77.27272727272727,70.25003743075311,73.59422790369382,spa,
3,011,3.666666666666666,33.333333333333336,15.789473684210526,21.42857142857143,spa,
4,100,0.18450744287475102,96.4205206515416,96.1591805284866,96.28967326431595,spa,
5,101,1.101694915254237,87.91208791208791,78.81773399014779,83.11688311688312,spa,
6,110,0.356615314332123,97.31814152707415,94.1475444724027,95.70659107467253,spa,
7,111,2.055555555555555,90.41095890410959,78.57142857142857,84.07643312101911,spa,
8,all,0.298158796538305,96.27367896311067,94.25836805443407,95.25536525436792,spa,
0,000,0.544520547945205,63.988919667590025,79.10958904109589,70.75038284839202,rus,2335.0
1,001,1.0,67.9245283018868,69.23076923076923,68.57142857142857,rus,206.0
2,010,1.023521505376344,81.78077856313958,80.62821779603723,81.20040851598712,rus,59519.0
3,011,2.454545454545454,80.37383177570094,68.25396825396825,73.8197424892704,rus,266.0
4,100,0.171319052987598,96.22322340764065,97.3053537252511,96.76126315789473,rus,177396.0
5,101,0.162303664921465,96.35761589403974,94.94290375203916,95.64502875924406,rus,1526.0
6,110,0.497531198566636,96.7007682183495,93.53410137416711,95.09107848491665,rus,383991.0
7,111,1.218867924528301,94.7098976109215,85.51617873651772,89.87854251012145,rus,2120.0
8,all,0.457976817434105,95.58640218952388,93.3894608646155,94.4751612422643,rus,627359.0
